,President - 1,President - 2
108,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
109,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
110,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
111,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
112,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
113,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
115,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
116,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
117,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
118,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
121,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
122,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
123,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
124,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
125,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
126,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
127,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
128,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
130,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
131,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
132,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
133,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
134,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
138,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
139,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
140,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
141,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
142,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
144,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
145,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
146,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
147,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
148,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
149,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
151,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
152,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
154,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
155,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
156,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
157,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
158,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
159,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
160,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
161,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
162,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
164,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
165,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
166,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
167,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
168,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
170,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
172,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
173,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
174,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
175,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
176,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
177,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
178,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
179,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
180,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
181,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
182,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
183,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
184,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
185,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
187,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
189,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
190,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
191,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
192,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
193,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
194,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
196,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
197,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
198,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
199,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
200,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
202,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
203,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
204,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
205,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
206,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
207,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
208,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
209,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
211,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
212,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
213,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
215,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
216,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
217,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
218,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
221,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
222,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
223,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
224,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
225,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
226,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
227,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
228,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
229,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
230,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
231,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
232,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
233,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
234,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
235,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
236,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
237,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
238,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
239,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
240,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
242,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
243,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
245,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
246,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
247,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
248,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
249,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
250,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
251,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
252,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
253,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
254,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
255,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
256,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
257,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
258,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
259,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
260,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
261,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
262,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
263,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
265,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
266,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
267,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
268,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
269,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
271,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
272,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
273,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
274,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
275,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
276,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
277,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
278,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
279,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
280,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
281,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
282,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
283,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
284,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
285,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
286,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
287,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
288,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
289,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
290,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
291,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
292,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
293,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
294,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
295,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
298,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
299,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
301,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
303,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
304,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
306,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
307,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
308,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
309,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
310,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
311,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
312,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
313,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
314,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
315,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
316,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
317,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
318,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
319,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
320,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
321,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
322,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
323,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
324,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
325,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
326,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
327,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
328,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
329,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
332,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
333,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
334,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
335,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
336,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
337,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
338,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
339,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
340,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
342,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
343,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
344,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
345,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
346,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
347,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
348,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
349,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
350,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
351,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
352,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
353,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
355,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
356,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
357,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
358,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
359,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
360,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
361,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
